,address,LAT,LONG
587,4 PERSHING R,42.318871,-71.112339
904,11 PERSHING R,42.319187,-71.112751
770,PERSHING R,42.319277,-71.114241
2828,35 HUMPHREYS ST AND DUDLEY ST,42.319487,-71.066581
775,23 HAROLD ST,42.319557,-71.088261
1879,209 WALNUT AV,42.319717,-71.089901
2184,HUMPHREYS ST AND DUDLEY ST,42.319797,-71.066414
86,DORCHESTER AV AND COLUMBIA R,42.32,-71
201,DANA AV AND DORCHESTER AV,42.32,-71
429,BOSTON ST AND SONGIN WY,42.32,-71
440,CAMBRIDGE ST AND BLOSSOM CT,42.32,-71
915,DORCHESTER AV AND ST MARKS R,42.32,-71
1356,CAMBRIDGE ST AND CITY HALL PZ,42.32,-71
1634,CAMBRIDGE ST AND WINDHAM R,42.32,-71
1806,1 FAULKNER ST AND DORCHESTER AV,42.32,-71
1972,99 AUTUMN ST AND BOSTON WHARF R,42.32,-71
2551,374 BLUE HILL AV AND DORCHESTER AV,42.32,-71
2832,BOSTON HARBOR AND SPECTACLE ISL,42.32,-71
144,33 MARTIN LUTHER KING BLV,42.320118,-71.089617
173,35 MARTIN LUTHER KING BLV,42.320118,-71.089617
520,3 MARTIN LUTHER KING BLV,42.320118,-71.089617
220,154 WALNUT AV,42.320187,-71.087221
1503,81 AMORY ST,42.320321,-71.099644
22,COLUMBIA R,42.320468,-71.056439
978,49 WAVERLY ST,42.320531,-71.079707
212,WAVERLY ST,42.320626,-71.079899
442,45 WAVERLY ST,42.320626,-71.079899
1827,41 WAVERLY ST,42.320657,-71.080031
2314,1 WOODVILLE ST,42.320727,-71.075301
1083,133 WALNUT AV,42.320729,-71.086013
1215,3 WOODVILLE ST,42.320817,-71.075291
2601,48 WAVERLY ST,42.320817,-71.079461
1047,44 WAVERLY ST,42.320887,-71.079621
1785,42 WAVERLY ST,42.320887,-71.079621
1262,131 WALNUT AV,42.320957,-71.08631
1365,WOODVILLE ST,42.321195,-71.076002
1297,51 AMORY ST,42.321233,-71.099419
1499,26 WAVERLY ST,42.321337,-71.080631
469,42 BROOK AV,42.321469,-71.073932
1073,1 WAVERLY ST,42.321507,-71.081583
452,8 WAVERLY ST,42.321544,-71.081498
260,41 WOODVILLE ST,42.321577,-71.076816
565,41 BROOK AV,42.321617,-71.074241
951,23 CHESTNUT AV,42.321627,-71.102581
177,94 WALNUT AV,42.321657,-71.085231
2258,11 MAYHEW ST AND BOSTON ST,42.321657,-71.060811
2005,4 WAVERLY ST,42.321666,-71.081781
1710,102 WALNUT AV,42.321687,-71.085417
1234,23 AMORY ST,42.321693,-71.099083
726,NORTH AV,42.321707,-71.073211
1272,2 WAVERLY ST,42.321717,-71.081551
1094,THORNTON PL,42.321797,-71.092821
1671,101 WALNUT AV,42.321837,-71.085581
972,17 CHESTNUT AV,42.321877,-71.102401
1633,25 AMORY ST,42.321895,-71.099348
604,99 WALNUT AV,42.321907,-71.085531
1952,BURTON AV,42.32193,-71.080252
2375,6 BURTON AV,42.32193,-71.080252
1923,258 WARREN ST,42.321987,-71.081741
757,9 NORTH AV,42.322047,-71.073171
406,8 CHESTNUT AV,42.322327,-71.101851
439,6 CHESTNUT AV,42.322367,-71.101831
28,CHARLES ST AND BOYLSTON ST,42.32259,-71.169426
311,27 DENNIS ST,42.322637,-71.075391
